"Suburb","Population"
"Lower Tenthill",333
"Lower Wonga",498
"Lowmead",225
"Lowood",3336
"Lucinda",450
"Lumholtz",0
"Lundavra",421
"Luscombe",448
"Lutwyche",2801
"Lytton",6
"Ma Ma Creek",403
"Maaroom",216
"Mabuiag Island",260
"Macalister",463
"Macalister Range",18
"Macgregor (Qld)",5576
"Machans Beach",941
"Mackay",4072
"Mackay Harbour",733
"Mackenzie (Brisbane - Qld)",1844
"Mackenzie River",426
"Macknade",304
"Maclagan",342
"Macleay Island",2572
"Maidenwell",458
"Main Beach",3496
"Majors Creek (Qld)",301
"Malanda",2052
"Maleny",3441
"Mandalay",304
"Maneroo",272
"Mango Hill",4340
"Manly (Qld)",3702
"Manly West",11195
"Manoora (Qld)",5688
"Mansfield (Qld)",8473
"Manunda",4964
"Mapleton",1439
"Mapoon",263
"Marburg",567
"Marcoola",3015
"Marcus Beach",764
"Mareeba",10181
"Margate (Qld)",7008
"Maria Creeks",393
"Marian",3019
"Marmor",205
"Maroochy River",1337
"Maroochydore",14445
"Maroondan",499
"Marsden",11278
"Maryborough (Qld)",15860
"Maryborough West",665
"Maryvale (Southern Downs - Qld)",350
"Masig Island",238
"Maudsland",3215
"McDesme",271
"McDowall",6818
"McEwens Beach",138
"McIlwraith",327
"McKinlay",417
"Meadowbrook",3138
"Meadowvale",442
"Meandarra",352
"Meikleville Hill",467
"Meldale",362
"Memerambi",266
"Mena Creek",528
"Menzies (Qld)",965
"Mer Island",365
"Meridan Plains",1699
"Meringandan",305
"Meringandan West",1977
"Mermaid Beach",5722
"Mermaid Waters",11789
"Merrimac",6321
"Miallo",426
"Miami",6364
"Mica Creek",209
"Middle Park (Qld)",4026
"Middle Ridge",6561
"Middlemount",1914
"Midge Point",254
"Mighell",384
"Milbong",485
"Miles",1854
"Miles End",332
"Millaa Millaa",598
"Millaroo",200
"Millbank (Qld)",2601
"Millchester",581
"Millmerran",1566
"Millmerran Downs",421
"Millstream (Qld)",1072
"Milman",312
"Milton (Qld)",1987
"Minden",1093
"Minyama",2485
"Mirani",1671
"Miriam Vale",422
"Mirriwinni",484
"Mission Beach",765
"Mission River",1317
"Mitchell (Qld)",1311
"Mitchelton",8012
"Moa Island",421
"Moffat Beach",2569
"Moffatdale",214
"Moggill",3606
"Molendinar",6213
"Mondure",241
"Monkland",1162
"Mons",856
"Monto",1307
"Montville",886
"Moodlu",236
"Moogerah",209
"Moolboolaman",547
"Mooloolaba",7333
"Mooloolah Valley",3263
"Moonford",292
"Moonie",253
"Moore",315
"Moore Park Beach",2087
"Moores Pocket",746
"Moorina (Qld)",354
"Moorland (Qld)",290
"Mooroobool",6815
"Moorooka",9984
"Moranbah",8965
"Morayfield",19346
"Moresby (Qld)",390
"Moreton Bay",0
"Morganville",227
"Morningside",9399
"Mornington (Qld)",1919
"Morton Vale",263
"Morven (Qld)",302
"Mosman Park (Qld)",330
"Mossman",1732
"Mossman Gorge",100
"Mothar Mountain",560
"Mount Abundance",272
"Mount Alford",344
"Mount Archer (Rockhampton - Qld)",88
"Mount Beppo",347
"Mount Britton",346
"Mount Carbine",331
"Mount Chalmers",216
"Mount Coolon",567
"Mount Coolum",3669
"Mount Coot-tha",0
"Mount Cotton",4804
"Mount Crosby",1728
"Mount Delaney",59
"Mount Elliot (Qld)",0
"Mount Forbes",225
"Mount Garnet",433
"Mount Glorious",279
"Mount Gravatt",3238
"Mount Gravatt East",10891
"Mount Hallen",497
"Mount Isa",704
"Mount Isa City",215
"Mount Jukes",358
"Mount Julian",456
"Mount Kelly",406
"Mount Kilcoy",255
"Mount Kynoch",161
"Mount Larcom",278
"Mount Lofty",3846
"Mount Louisa",7992
"Mount Low",2391
"Mount Marshall",231
"Mount Martin",306
"Mount Mee",909
"Mount Mellum",446
"Mount Molloy",273
"Mount Morgan",2115
"Mount Mort",264
"Mount Murchison",226
"Mount Nathan",1124
"Mount Nebo",433
"Mount Ommaney",2334
"Mount Ossa",240
"Mount Pelion",317
"Mount Perry",480
"Mount Pleasant (Mackay - Qld)",4751
"Mount Pleasant (Moreton Bay - Qld)",304
"Mount Rascal",271
"Mount Rooper",0
"Mount Samson",566
"Mount Sheridan (Qld)",7994
"Mount Stuart (Qld)",6
"Mount Surprise",306
"Mount Sylvia",178
"Mount Tarampa",623
"Mount Tyson",385
"Mount Warren Park",5665
"Mount Whitestone",211
"Mountain Creek (Qld)",7015
"Moura",1899
"Mourilyan",414
"Mowbray (Qld)",331
"Mudgeeraba",13204
"Mudjimba",2136
"Muirlea",282
"Mulambin",613
"Mulgowie",282
"Munbilla",434
"Munbura",273
"Mundingburra",3878
"Mundoo",409
"Mundoolun",1327
"Mundowran",198
"Mundubbera",1042
"Mungabunda",320
"Mungar",264
"Munruben",2809
"Murarrie",3958
"Murgon",2496
"Murphys Creek (Qld)",664
"Murray",492
"Murray Upper",140
"Murrumba Downs",9393
"Mutdapilly",390
"Muttaburra",328
"Mysterton",834
"Nahrunda",205
"Nambour",10221
"Nanango",3795
"Nandi",257
"Nankin",282
"Nanum",815
"Narangba",16223
"Nathan",1397
"Nebo",840
"Neerdie",0
"Nelly Bay",1055
"Nerang",16256
"Nerimbera",265
"Neurum",168
"New Auckland",4711
"New Beith",3446
"New Chum",0
"New Farm",11330
"New Harbourline",317
"New Mapoon",289
"Newell",328
"Newmarket",4444
"Newport (Qld)",3184
"Newstead (Qld)",836
"Newtown (Ipswich - Qld)",1454
"Newtown (Toowoomba - Qld)",9565
"Nikenbah",584
"Ninderry",1029
"Ningi",3687
"Nobby",484
"Nome",992
"Noorindoo",312
"Noosa Heads",3999
"Noosa North Shore",326
"Noosaville",7117
"Norman Gardens",8431
"Norman Park",6003
"Normanton",1468
"North Arm (Qld)",636
"North Booval",2431
"North Deep Creek",313
"North Eton",536
"North Ipswich",4587
"North Isis",484
"North Lakes",15046
"North Mackay",6597
"North Maclean",1541
"North Maleny",580
"North Stradbroke Island",117
"North Talwood",360
"North Toowoomba",3049
"North Ward",5097
"Northgate (Qld)",4304
"Norville",2556
"Norwell",282
"Nudgee",2856
"Nudgee Beach",261
"Numinbah Valley",294
"Nundah",10386
"O'Connell (Qld)",237
"Oak Beach",207
"Oak Valley",420
"Oakenden",433
"Oakey",4529
"Oakhurst (Qld)",1180
"Oakwood (Qld)",341
"Obi Obi",427
"Ocean View",817
"One Mile (Qld)",1993
"Oonoonba",1155
"Ooralea",2601
"Orange Creek",238
"Ormeau",12439
"Ormeau Hills",1212
"Ormiston",5641
"Osborne (Qld)",339
"Owanyilla",321
"Oxenford",11156
"Oxley (Qld)",7291
"Pacific Haven",668
"Pacific Heights",824
"Pacific Paradise",2169
"Pacific Pines",14788
"Paddington (Qld)",7987
"Paddys Green",278
"Paget",360
"Palen Creek",219
"Pallara",615
"Pallarenda",817
"Palm Beach (Qld)",13956
"Palm Cove",1658
"Palm Grove (Qld)",98
"Palm Island",2381
"Palmview",573
"Palmwoods (Qld)",5492
"Palmyra (Qld)",302
"Paradise Point",5930
"Park Avenue",5366
"Park Ridge",2328
"Park Ridge South",1778
"Parkhurst",1835
"Parkinson",9539
"Parklands (Qld)",235
"Parkside (Qld)",1784
"Parkwood (Qld)",8436
"Parramatta Park",3226
"Parrearra",4357
"Paterson (Qld)",370
"Patrick Estate",195
"Peachester",1259
"Peak Crossing",768
"Peeramon",481
"Pelican Waters",5046
"Peranga",298
"Peregian Beach",3531
"Peregian Springs",3949
"Perwillowen",317
"Petrie",8499
"Petrie Terrace",1183
"Pialba",3528
"Picnic Bay",335
"Pie Creek",850
"Pierces Creek",270
"Pimlico (Qld)",2599
"Pimpama",3211
"Pinbarren",440
"Pine Creek (Qld)",388
"Pine Mountain (Qld)",1732
"Pinjarra Hills",664
"Pink Lily",255
"Pinkenba",350
"Pinnacle (Qld)",337
"Pinnacles",39
"Pioneer (Qld)",2621
"Pittsworth",2968
"Piturie",248
"Placid Hills",837
"Plainland",1672
"Pleystowe",367
"Point Arkwright",309
"Point Lookout",678
"Point Vernon",5691
"Pomona (Qld)",2587
"Poona",383
"Pormpuraaw",662
"Port Curtis",327
"Port Douglas",3205
"Portsmith",229
"Poruma Island",149
"Postmans Ridge",387
"Pozieres",302
"Prairie (Qld)",290
"Pratten",363
"Prenzlau",325
"Preston (Toowoomba - Qld)",763
"Preston (Whitsunday - Qld)",493
"Priestdale",124
"Prince Henry Heights",511
"Prince Of Wales",87
"Proserpine",3390
"Prospect (Qld)",251
"Proston",494
"Pullenvale",3174
"Punsand",19
"Purga",600
"Queenton",1702
"Quilpie",574
"Quinalow",411
"Qunaba",822
"Racecourse",242
"Raceview",8685
"Railway Estate",2956
"Rainbow Beach",1103
"Ramsay (Qld)",310
"Rangeville",8217
"Rangewood",1083
"Ransome",474
"Rasmussen",4263
"Rathdowney",434
"Ravensbourne",367
"Ravenshoe",1442
"Ravenswood (Qld)",349
"Red Hill (Brisbane - Qld)",5547
"Red Hill (Western Downs - Qld)",253
"Redbank (Qld)",1605
"Redbank Creek",307
"Redbank Plains",14976
"Redcliffe (Qld)",9201
"Redland Bay",13624
"Redlynch",8645
"Redridge",614
"Redwood",17
"Reedy Creek (Qld)",5712
"Reesville",505
"Regency Downs",2097
"Regents Park (Qld)",10657
"Rewan",463
"Richlands (Qld)",2076
"Richmond (Mackay - Qld)",505
"Richmond (Richmond - Qld)",827
"Richmond Hill (Qld)",2776
"Ridgelands",301
"Ridgewood (Qld)",498
"Ringtail Creek",180
"Riordanvale",553
"Ripley",1024
"River Heads",1294
"River Ranch",313
"Riverhills",3819
"Riverview (Qld)",3243
"Roadvale",443
"Robertson (Qld)",4867
"Robina",20522
"Roche Creek",94
"Rochedale",1092
"Rochedale South",14996
"Rockhampton City",2244
"Rocklea (Qld)",1255
"Rockmount",181
"Rocksberg",302
"Rockville",3264
"Rocky Point (Weipa Town - Qld)",1555
"Rockyview",1428
"Rolleston",129
"Rollingstone",295
"Roma",6906
"Ropeley",232
"Rosedale (Qld)",448
"Rosehill (Qld)",201
"Rosemount",1301
"Roseneath",200
"Rosenthal Heights",1835
"Rosevale (Qld)",268
"Rosewood (Qld)",2746
"Rosslea",1600
"Rosslyn",351
"Rothwell",6683
"Rowes Bay",539
"Royston",320
"Rubyanna",195
"Runaway Bay",8912
"Runcorn",14075
"Runnymede (Qld)",274
"Rural View",3324
"Russell Island",2473
"Sadliers Crossing",1075
"Saibai Island",480
"Salisbury (Qld)",6096
"Samford Valley",3044
"Samford Village",752
"Samsonvale",555
"Sandgate (Qld)",4626
"Sandiford",335
"Sandstone Point",3895
"Sandy Creek (Qld)",555
"Sarina",5730
"Sarina Beach",352
"Sarina Range",221
"Saunders Beach",409
"Scarborough (Qld)",7986
"Scarness",3473
"Scottville",344
"Scrubby Mountain",216
"Seaforth (Qld)",788
"Seisia",203
"Seven Hills (Qld)",2028
"Seventeen Mile Rocks",2970
"Seventeen Seventy",76
"Seventy Mile",224
"Severnlea",320
"Shailer Park",11275
"Shannonvale (Qld)",359
"Sharon",1131
"Shelburne",47
"Sheldon",1690
"Shelly Beach (Sunshine Coast - Qld)",866
"Sherwood (Qld)",4998
"Shoal Point",1086
"Shorncliffe",1914
"Shute Harbour",95
"Silkstone",3483
"Silkwood",712
"Silky Oak",224
"Sinnamon Park",6362
"Sippy Downs",9087
"Slacks Creek",10435
"Slade Point",3859
"Sladevale",468
"Smithfield (Qld)",3707
"Smoky Creek",308
"Soldiers Hill (Qld)",2111
"Somerset (Qld)",0
"Somerset Dam",266
"South Bingera",590
"South Brisbane",5416
"South East Nanango",202
"South Gladstone",3626
"South Innisfail",619
"South Isis",311
"South Johnstone",411
"South Kolan",1164
"South Mackay",7416
"South Maclean",1255
"South Mission Beach",778
"South Nanango",779
"South Ripley",344
"South Stradbroke",101
"South Toowoomba",5225
"South Townsville",2138
"South Trees",0
"Southbrook",523
"Southern Cross (Qld)",613
"Southern Moreton Bay Islands",4
"Southport (Qld)",28315
"Southside",5509
"Speewah",802
"Spring Creek (Lockyer Valley - Qld)",233
"Spring Creek (Toowoomba - Qld)",354
"Spring Hill (Qld)",5259
"Spring Mountain (Qld)",5
"Springbrook",624
"Springfield (Ipswich - Qld)",6617
"Springfield Central",105
"Springfield Lakes",10149
"Springsure",1048
"Springwood (Qld)",8990
"St George (Qld)",3292
"St Helena Island",0
"St Helens Beach",117
"St Lawrence",396
"St Lucia",11195
"Stafford",6041
"Stafford Heights",6780
"Stamford",351
"Stanage",468
"Stanmore (Qld)",481
"Stanthorpe",5385
"Stanwell",303
"Stapylton",445
"Steiglitz (Qld)",441
"Stockleigh",695
"Stockyard (Rockhampton - Qld)",8
"Stoneleigh (Qld)",283
"Stony Creek (Qld)",319
"Stratford (Qld)",1109
"Strathdickie",814
"Strathpine",9278
"Stretton",4067
"Struck Oil",179
"Stuart (Qld)",1051
"Summerholm",556
"Sumner",539
"Sun Valley (Qld)",1469
"Sundown (Cassowary Coast - Qld)",246
"Sunnybank",8091
"Sunnybank Hills",16830
"Sunrise Beach",3448
"Sunset",2472
"Sunshine Acres",808
"Sunshine Beach",2288
"Surat",426
"Surfers Paradise",19668
"Svensson Heights",3204
"Taabinga",554
"Tablelands (South Burnett - Qld)",244
"Taigum",5619
"Takura",583
"Tallai",3765
"Tallebudgera",3551
"Tallebudgera Valley",1557
"Tallegalla",549
"Tam O'Shanter",0
"Tamaree",664
"Tambo",611
"Tamborine",3464
"Tamborine Mountain",7030
"Tanah Merah",4608
"Tanawha",1151
"Tanby",422
"Tandur",236
"Tannum Sands",5254
"Tannymorel",199
"Tansey",274
"Tara (Qld)",2211
"Tarampa",325
"Taranganba",2430
"Taringa",7176
"Tarome",212
"Taromeo",343
"Taroom",873
"Taroomball",344
"Tarragindi",9965
"Tarzali",590
"Taylors Beach (Qld)",351
"Te Kowai",217
"Teddington",358
"Telina",2179
"Tellebang",231
"Teneriffe",4699
"Tennyson (Qld)",859
"Tewantin",10660
"Texas (Qld)",1159
"Thabeban",2827
"Thagoona",972
"Thallon",382
"Thangool",829
"Thargomindah",206
"The Cape",297
"The Caves",708
"The Common",3
"The Dawn",394
"The Falls",197
"The Gap (Brisbane - Qld)",15949
"The Gap (Mount Isa - Qld)",802
"The Gemfields",1630
"The Keppels",36
"The Leap",673
"The Mine",0
"The Palms",865
"The Percy Group",0
"The Range (Qld)",5369
"The Summit",484
"Theebine",182
"Theodore (Qld)",452
"Theresa Creek (Qld)",214
"Thoopara",227
"Thorneside",3548
"Thornlands",12807
"Thornton (Qld)",257
"Three Moon",285
"Thulimbah",332
"Thuringowa Central",2013
"Thursday Island",2610
"Tiaro",770
"Tieri",2012
"Tin Can Bay",1994
"Tinana",4877
"Tinana South",473
"Tinaroo",282
"Tinbeerwah",1262
"Tingalpa",8539
"Tingoora",332
"Tingun",253
"Tinnanbar",254
"Tirroan",282
"Tivoli",1399
"Tolga",2426
"Toll",412
"Toobanna",272
"Toobeah",218
"Toogoolawah",1162
"Toogoom",1872
"Toolakea",283
"Toolooa",1164
"Toomulla",435
"Toorbul",877
"Toowong",11255
"Toowoomba City",2200
"Top Camp",669
"Topaz",467
"Torbanlea",871
"Torquay (Qld)",6026
"Torres Strait",0
"Torrington (Qld)",880
"Towen Mountain",311
"Towers Hill",224
"Town Common",163
"Townsville City",2500
"Townview",2371
"Traveston",470
"Trebonne",773
"Trinity Beach",4734
"Trinity Park",2459
"Trunding",940
"Tugun",5976
"Tully",2436
"Tully Heads",438
"Tummaville",284
"Tungamull",393
"Turkey Beach",468
"Twin Waters",2550
"Ugar Island",48
"Umagico",281
"Underwood (Qld)",5328
"Upper Barron",378
"Upper Brookfield",655
"Upper Caboolture",3752
"Upper Coomera",21136
"Upper Kedron",3432
"Upper Lockyer",575
"Upper Mount Gravatt",8851
"Upper Tenthill",212
"Urangan",9169
"Urraween",5913
"Valdora",380
"Vale View",700
"Valentine Plains",342
"Valkyrie",307
"Varsity Lakes",14366
"Vasa Views",204
"Veresdale Scrub",620
"Verrierdale",698
"Veteran",949
"Victoria Plains",471
"Victoria Plantation",319
"Victoria Point (Qld)",14817
"Victory Heights (Qld)",580
"Villeneuve",449
"Vincent",2479
"Virginia (Qld)",2061
"Wacol",2957
"Wakerley",7804
"Walkamin",450
"Walkerston",3089
"Walkervale",3002
"Wallangarra",510
"Wallaville",392
"Walligan",329
"Walloon",1548
"Wallu",108
"Wallumbilla",262
"Wallumbilla North",401
"Wallumbilla South",203
"Walter Hill",0
"Wamuran",2850
"Wandal",4237
"Wandoan",655
"Wangan",585
"Wanora",339
"Warana",3512
"Warner",8381
"Warra",318
"Warraber Islet",250
"Warrill View",321
"Warwick (Qld)",12357
"Waterford (Qld)",3931
"Waterford West",6160
"Watsonville",344
"Wattle Camp",490
"Wavell Heights",9435
"Webb",368
"Welcome Creek",397
"Wellcamp",302
"Wellesley Islands",1142
"Wellington Point",11787
"Welsby",4
"Weranga",341
"West End (Brisbane - Qld)",8061
"West End (Townsville - Qld)",4242
"West Gladstone",5201
"West Ipswich",461
"West Mackay",6507
"West Point",39
"West Rockhampton",1810
"West Stowe",364
"West Woombye",1104
"Westbrook (Qld)",3287
"Westcourt",3906
"Westlake",4380
"Westwood (Qld)",220
"Weyba Downs",313
"Wheatlands",214
"White Patch",112
"White Rock (Cairns - Qld)",4490
"Whiteside",703
"Whitfield (Qld)",4176
"Whitsundays",1743
"Whyanbeel",414
"Widgee",788
"Wights Mountain",725
"Willawong",192
"Willow Vale (Qld)",1015
"Willowbank",1254
"Willows",308
"Willowvale (Qld)",286
"Wilsons Pocket",204
"Wilsonton",5986
"Wilsonton Heights",2822
"Wilston",3872
"Windaroo",2715
"Windorah",350
"Windsor (Qld)",6389
"Winfield",408
"Winston",1450
"Winton (Qld)",954
"Wishart (Qld)",10460
"Withcott",1711
"Witheren",441
"Witta",1230
"Wivenhoe Pocket",498
"Wolffdene",292
"Wolvi",466
"Wondai",2127
"Wondecla",580
"Wondunna",2219
"Wonga (Qld)",994
"Wongabel",184
"Wongaling Beach",1064
"Wongawallan",1103
"Wonglepong",367
"Woodbury (Qld)",363
"Woodend (Qld)",1535
"Wooderson",225
"Woodford (Qld)",2517
"Woodgate",941
"Woodhill (Qld)",423
"Woodridge (Qld)",12787
"Woodstock (Qld)",456
"Woodwark",376
"Woody Point",4089
"Woolloongabba",4789
"Woolooga",274
"Wooloowin",5942
"Woombye",2775
"Woongarra",681
"Woongoolba",460
"Woorabinda",936
"Woorim",1765
"Wooroolin",316
"Wooroonooran (Cairns - Qld)",6
"Wootha",310
"Woree",4826
"Worongary",5574
"Wowan",233
"Wrights Creek (Qld)",274
"Wujal Wujal",270
"Wulguru",4819
"Wulkuraka",855
"Wurdong Heights",367
"Wurtulla",5587
"Wyaralong",61
"Wynnum",12229
"Wynnum West",11745
"Wyreema",1247
"Yabulu",675
"Yalboroo",376
"Yamanto",4135
"Yandaran",483
"Yandilla",151
"Yandina",2221
"Yandina Creek",786
"Yangan",394
"Yaroomba",1273
"Yarrabah",2409
"Yarraman (Qld)",1230
"Yarrol",21
"Yarwun",239
"Yatala",1346
"Yeerongpilly",1984
"Yelarbon",493
"Yengarie",690
"Yeppoon",6317
"Yeronga",5540
"Yerra",171
"Yorkeys Knob",2766
"Yowah",221
"Yugar",395
"Yuleba",212
"Yungaburra",1116
"Zillmere",8105
"Zilzie",1890
"No Usual Address (Qld)",12545
"Migratory - Offshore - Shipping (Qld)",471
"Aberfoyle Park",11254
"Adelaide",12962
"Adelaide Airport",0
"Albert Park (SA)",1475
"Alberton (SA)",1916
"Aldgate",3200
"Aldinga",448
"Aldinga Beach",9697
"Allenby Gardens",1893
"Allendale East",260
"Alma (SA)",241
"Altona (SA)",164
"American River",215
"Andamooka",592
"Andrews Farm",6275
"Angaston",1909
"Angle Park",1467
"Angle Vale",2363
"Ardrossan",1136
"Armagh",351
"Arno Bay",227
"Arthurton",390
"Ascot Park",2996
"Ashbourne (SA)",279
"Ashford (SA)",833
"Ashton",466
"Athelstone",9258
"Athol Park",1664
"Auburn (SA)",598
"Auldana",602
"Balaklava",1827
"Balgowan (SA)",312
"Balhannah",1075
"Banksia Park",3238
"Barmera",3015
"Basket Range",374
"Beachport",878
"Beaumont (SA)",2490
"Bedford Park",1837
"Belair",4390
"Bellevue Heights",2549
"Berri",4103
"Bethany",300
"Beulah Park",1554
"Beverley (SA)",1413
"Bibaringa",347
"Birdwood (SA)",1301
"Birkenhead",1716
"Black Forest",1998
"Black Point",194
"Blackwood (SA)",4053
"Blair Athol (SA)",4373
"Blakeview",5093
"Blakiston",351
"Blanchetown",210
"Blewitt Springs",350
"Blyth",608
"Bolivar",181
"Booborowie",355
"Booleroo Centre",584
"Bordertown",2792
"Boston",856
"Bowden",622
"Bowmans",312
"Bradbury (SA)",190
"Brahma Lodge",3192
"Bridgewater (SA)",3498
"Brighton (SA)",3397
"Brinkworth",188
"Broadview",3994
"Brompton",2930
"Brooklyn Park",4515
"Brown Hill Creek",162
"Brownlow Ki",201
"Brukunga",403
"Buchfelde",359
"Buckland Park",277
"Bugle Hut",171
"Bugle Ranges",244
"Burdett",64
"Burnside (SA)",2671
"Burra (SA)",1396
"Burton (SA)",6153
"Bute",416
"Cadell",441
"Callington",408
"Caloote",273
"Caltowie",179
"Cambrai",480
"Camden Park (SA)",3061
"Campbelltown (SA)",7573
"Cape Jaffa",391
"Cape Jervis",202
"Carey Gully",434
"Carpenter Rocks",177
"Carrickalinga",281
"Ceduna",2068
"Chaffey",188
"Chandlers Hill",712
"Chapel Hill (SA)",201
"Charleston",516
"Cheltenham (SA)",2139
"Cherry Gardens",629
"Christie Downs",5133
"Christies Beach",5267
"Clapham",1620
"Clare (SA)",3278
"Clarence Gardens",2218
"Clarence Park",2492
"Clarendon (SA)",611
"Clayton Bay",240
"Clearview",3452
"Cleland",0
"Cleve",972
"Clinton (SA)",366
"Clovelly Park",2973
"Cobdogla",421
"Cockatoo Valley",517
"Coffin Bay",615
"College Park",739
"Collinswood",1312
"Colonel Light Gardens",3311
"Commissariat Point",281
"Compton",611
"Concordia",140
"Coober Pedy",1695
"Coobowie",220
"Cooltong",317
"Coonalpyn",815
"Coonamia",220
"Coonawarra (SA)",334
"Copley (SA)",103
"Corny Point",491
"Coromandel East",315
"Coromandel Valley",4282
"Cowandilla",1355
"Cowell",1069
"Crafers",1970
"Crafers West",1101
"Craigburn Farm",1778
"Craigmore",11102
"Croydon (SA)",1394
"Croydon Park (SA)",3998
"Crystal Brook (SA)",1497
"Cudlee Creek",473
"Cumberland Park",2485
"Cummins",1044
"Curramulka",437
"Currency Creek",398
"Darke Peak",271
"Darlington (SA)",1150
"Davoren Park",7000
"Daw Park",2440
"Dawesley",266
"Denial Bay",501
"Dernancourt",3711
"Devon Park (SA)",902
"Donovans",304
"Dover Gardens",2581
"Dry Creek (SA)",198
"Dublin",195
"Duck Ponds",272
"Dudley Park (SA)",399
"Dulwich",1641
"Eastwood (SA)",778
"Ebenezer (SA)",249
"Echunga",1050
"Eden Hills",2875
"Eden Valley",364
"Edillilie",220
"Edinburgh",193
"Edithburgh",466
"Edwardstown",3947
"Elizabeth",1039
"Elizabeth Downs",5142
"Elizabeth East",4291
"Elizabeth Grove",2385
"Elizabeth North",3232
"Elizabeth Park",3305
"Elizabeth South",2869
"Elizabeth Vale",3589
"Elizabeth West",3
"Elliston",291
"Encounter Bay",4332
"Enfield (SA)",4895
"Erindale",1130
"Ethelton",1208
"Eudunda",1029
"Evandale (SA)",1330
"Evanston",1988
"Evanston Gardens",921
"Evanston Park",4001
"Everard Park",996
"Exeter (SA)",1097
"Fairview Park",3620
"False Bay",0
"Farrell Flat",155
"Felixstow",2312
"Ferryden Park",4100
"Findon",5718
"Finniss",370
"Firle",1432
"Fisherman Bay",130
"Fitzroy (SA)",793
"Flagstaff Hill",9850
"Flaxley",303
"Flaxman Valley",229
"Flinders Park",4631
"Forest Range",173
"Forestville (SA)",1351
"Forreston",370
"Freeling",1927
"Frewville",797
"Fulham (SA)",2589
"Fulham Gardens",5878
"Fullarton",4153
"Garden Island (SA)",10
"Gawler (SA)",688
"Gawler Belt",954
"Gawler East",4740
"Gawler River",193
"Gawler South",2435
"Gawler West",1003
"Georgetown (SA)",263
"Gepps Cross",595
"Germein Bay",0
"Gilberton (SA)",1365
"Gilles Plains",3339
"Gladstone (SA)",795
"Glandore",2837
"Glanville",682
"Glen Osmond",1876
"Glenalta",1981
"Glenburnie",356
"Glencoe (SA)",665
"Glendambo",661
"Glenelg (SA)",3448
"Glenelg East",3701
"Glenelg North",5969
"Glenelg South",2340
"Glengowrie",5027
"Glenside",2236
"Glenunga",1867
"Globe Derby Park",359
"Glossop",931
"Glynde",1903
"Golden Grove",9429
"Golden Heights",378
"Goodwood (SA)",2810
"Goolwa",2201
"Goolwa Beach",2163
"Goolwa North",849
"Goolwa South",1011
"Gould Creek",208
"Grange (SA)",5857
"Green Fields",5
"Greenacres",2409
"Greenhill (SA)",460
"Greenock",838
"Greenwith",9075
"Gulfview Heights",3704
"Gumeracha",1018
"Hackham",4103
"Hackham West",3609
"Hackney",639
"Hahndorf",2547
"Halbury",461
"Hallett",235
"Hallett Cove",12257
"Hamley Bridge",633
"Hampden (SA)",450
"Hampstead Gardens",1359
"Happy Valley (SA)",11332
"Hardwicke Bay",127
"Harrogate",368
"Hatherleigh",337
"Hawker (SA)",492
"Hawson",352
"Hawthorn (SA)",2210
"Hawthorndene",3179
"Hayborough",1973
"Hazelwood Park",1968
"Heathfield",1033
"Heathpool",513
"Hectorville",3610
"Hendon (SA)",1373
"Henley Beach",5562
"Henley Beach South",2502
"Hewett",2755
"Highbury (SA)",6648
"Highgate (SA)",1444
"Highland Valley",420
"Hillbank",4566
"Hillcrest (SA)",3084
"Hillier",796
"Hilltown",207
"Hilton (SA)",832
"Hindmarsh (SA)",158
"Hindmarsh Island",1172
"Hindmarsh Valley",631
"Holden Hill",3177
"Hope Valley (SA)",7640
"Horsnell Gully",0
"Houghton",575
"Hove",2940
"Humbug Scrub",499
"Huntfield Heights",3907
"Hyde Park (SA)",1782
"Ingle Farm",8621
"Inglewood (SA)",535
"Inman Valley",732
"Inneston",0
"Iron Knob",166
"Ironbank",490
"Island Beach",319
"James Well",63
"Jamestown",1716
"Jerusalem",461
"Joanna",655
"Joslin",1249
"Jupiter Creek",275
"Kadina",2938
"Kalangadoo",519
"Kalbeeba",375
"Kangarilla",875
"Kanmantoo",707
"Kapunda",3152
"Karoonda",576
"Katarapko",0
"Keilira",285
"Keith",1320
"Kelly",477
"Kensington (SA)",1654
"Kensington Gardens",2340
"Kensington Park",2492
"Kent Town",1199
"Kersbrook",1172
"Keswick",680
"Keyneton",534
"Kidman Park",3317
"Kilburn",5102
"Kilkenny",1634
"Kimba",670
"Kings Park (SA)",586
"Kingscote",2034
"Kingston On Murray",645
"Kingston Park",538
"Kingston SE",1425
"Kingswood (SA)",2354
"Klemzig",5605
"Kongorong",353
"Koonibba",142
"Korunye",234
"Kudla",694
"Kuitpo",452
"Kurralta Park",2574
"Lameroo",847
"Langhorne Creek",668
"Largs Bay",3951
"Largs North",3271
"Laura (SA)",793
"Leabrook",1554
"Leigh Creek (SA)",505
"Lenswood",530
"Lewiston",2947
"Light Pass",260
"Lincoln National Park",0
"Linden Park",1888
"Lipson",314
"Littlehampton",2748
"Lobethal",2345
"Lochaber",260
"Lochiel (SA)",362
"Lock",432
"Lockleys",5450
"Longwood (SA)",308
"Lonsdale",28
"Louth Bay",196
"Loveday",660
"Lower Inman Valley",382
"Lower Light",377
"Lower Mitcham",2063
"Loxton",4365
"Loxton North",871
"Lucindale",979
"Lyndoch",1909
"Lynton",197
"Lyrup",419
"Macclesfield (SA)",1238
"Macdonald Park",455
"Magill",8229
"Maitland (SA)",1046
"Mallala",1047
