"Suburb","Population"
"Gundaroo",1032
"Gundary",314
"Gundy",188
"Gunnedah",9340
"Gunning",482
"Gurranang",259
"Guyra",1919
"Gwabegar",344
"Gwandalan",3035
"Gwynneville",2837
"Gymea",7175
"Gymea Bay",6873
"Haberfield",6650
"Halekulani",2427
"Halfway Creek",264
"Hallidays Point",365
"Hallsville",529
"Hamilton (NSW)",4071
"Hamilton East",901
"Hamilton North",885
"Hamilton South",4027
"Hamilton Valley",392
"Hamlyn Terrace",5225
"Hammondville",3252
"Hannam Vale",422
"Hanwood",1490
"Harden",1877
"Hargraves",338
"Harolds Cross",416
"Harrington",2258
"Harrington Park",7638
"Harris Park",5072
"Hartley (NSW)",299
"Harwood",356
"Hassall Grove",4396
"Hassans Walls",0
"Hastings Point",582
"Hat Head",326
"Hawkesbury Heights",451
"Hawks Nest",1123
"Hay (NSW)",2445
"Hay South",391
"Haymarket",5376
"Haywards Bay",693
"Hazelbrook",4534
"Heathcote (NSW)",5977
"Heatherbrae",492
"Hebersham",5438
"Heckenberg",2988
"Heddon Greta",1711
"Helensburgh",5996
"Henley",463
"Henty (NSW)",1136
"Hermidale",302
"Hermitage Flat",348
"Hernani",243
"Herons Creek",311
"Hexham (NSW)",179
"Hickeys Creek",263
"High Range",473
"Highfields (NSW)",1049
"Hill End (NSW)",484
"Hill Top (Wingecarribee - NSW)",2506
"Hillgrove (Armidale Dumaresq - NSW)",290
"Hillsborough (Lake Macquarie - NSW)",667
"Hillsdale",4977
"Hillston",1430
"Hillville",279
"Hillvue",6255
"Hinchinbrook (NSW)",10629
"Hinton",313
"Hobartville (NSW)",2850
"Hogarth Range",280
"Holbrook",1688
"Holgate",986
"Holmesville",1419
"Holroyd",1044
"Holsworthy",5061
"Homebush (NSW)",6195
"Homebush West",5781
"Homeleigh",151
"Hopkins Creek",208
"Horningsea Park",3669
"Hornsby",19863
"Hornsby Heights",6192
"Horse Station Creek",200
"Horseshoe Bend",400
"Horsfield Bay",527
"Horsley",7038
"Horsley Park",1936
"Hoskinstown",344
"Howlong",2551
"Hoxton Park",4208
"Humula",11
"Hunters Hill",8994
"Hunterview",2647
"Huntley (Orange - NSW)",307
"Huntleys Cove",736
"Huntleys Point",134
"Huonbrook",305
"Hurlstone Park",4692
"Hurstville",26040
"Hurstville Grove",2392
"Huskisson",735
"Hyams Beach",290
"Hyland Park",441
"Ilarwill",213
"Ilford",306
"Illawong",7330
"Iluka (NSW)",1701
"Ingleburn",13902
"Ingleside",1122
"Inverell",11399
"Invergowrie",747
"Islington",1806
"Ivanhoe (NSW)",200
"Jacks Creek",146
"Jamberoo",1526
"James Creek",217
"Jamisontown",5242
"Jannali",5955
"Jaspers Brush",374
"Jeir",309
"Jellat Jellat",210
"Jemalong",263
"Jennings",211
"Jerangle",227
"Jeremadra",353
"Jerilderie",1070
"Jerrabomberra",9420
"Jerrara",284
"Jerrys Plains",688
"Jerseyville",135
"Jesmond",2607
"Jewells",3120
"Jiggi",333
"Jilliby",1766
"Jindabyne",2441
"Jindera",1809
"Jingellic",24
"Johns River",347
"Jolly Nose",0
"Jugiong",303
"Junction Hill",1177
"Junee",4578
"Kahibah",2083
"Kains Flat",350
"Kalang",372
"Kalaru",642
"Kalkite",173
"Kanahooka",5167
"Kandos",1284
"Kangaloon",309
"Kangaroo Creek",257
"Kangaroo Point (NSW)",576
"Kangaroo Valley",844
"Kangy Angy",316
"Kanimbla (NSW)",262
"Kanoona",334
"Kanwal",3873
"Kapooka",340
"Karabar",8601
"Karangi",535
"Kareela",3325
"Kariong",6451
"Karuah",1327
"Katoomba",8016
"Kearns",2759
"Kearsley",740
"Keepit",318
"Keerrong",380
"Keiraville",3343
"Keith Hall",175
"Kellyville",20341
"Kellyville Ridge",8344
"Kelso (NSW)",7725
"Kembla Grange",222
"Kembla Heights",0
"Kemps Creek",2309
"Kempsey",389
"Kendall",1190
"Kenebri",170
"Kensington (NSW)",12776
"Kenthurst",4880
"Kentlyn",694
"Kentucky",325
"Kerrigundi",428
"Kew (NSW)",649
"Khancoban",454
"Kiah",240
"Kiama",6272
"Kiama Downs",4848
"Kiama Heights",893
"Kianga (NSW)",738
"Kielvale",325
"Kilaben Bay",1338
"Killabakh",256
"Killara (NSW)",9284
"Killarney Heights",4453
"Killarney Vale",6952
"Killawarra (NSW)",265
"Killcare",456
"Killcare Heights",750
"Killingworth (NSW)",700
"Kimbriki",120
"Kinchela",318
"Kincumber",6836
"Kincumber South",681
"Kindee",293
"King Creek",1335
"Kings Langley",9267
"Kings Park (NSW)",3348
"Kings Point",562
"Kingscliff",6392
"Kingsford (NSW)",14101
"Kingsgrove",11516
"Kingsvale",219
"Kingswood (Penrith - NSW)",9108
"Kingswood (Tamworth - NSW)",1138
"Kioloa",208
"Kirkconnell",183
"Kirkham",694
"Kirrawee",8977
"Kirribilli",3668
"Kitchener",530
"Knockrow",194
"Kogarah",12764
"Kogarah Bay",2061
"Koolewong",794
"Koonawarra",3633
"Koonorigan",269
"Kooragang",18
"Koorainghat",208
"Koorawatha",258
"Kooringal (NSW)",7308
"Kootingal",2162
"Koraleigh",277
"Korora",2225
"Kosciuszko National Park",770
"Kotara",3916
"Kotara South",1144
"Krambach",392
"Ku-Ring-Gai Chase",6
"Kulnura",584
"Kundabung",555
"Kundle Kundle",323
